Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SingleSwingLearning,0.662,15811.518,79.387,10242,-0.041
SingleSwingLearning,0.647,15898.251,76.585,10262,-0.041
SingleSwingLearning,0.628,15985.674,77.661,10271,-0.040
SingleSwingLearning,0.616,16081.447,86.806,10292,-0.040
SingleSwingLearning,0.614,16175.525,85.366,10244,-0.039
SingleSwingLearning,0.639,16258.834,74.200,10247,-0.039
SingleSwingLearning,0.595,16346.048,78.309,10256,-0.038
SingleSwingLearning,0.600,16432.615,77.115,10285,-0.038
SingleSwingLearning,0.610,16516.053,74.769,10248,-0.037
SingleSwingLearning,0.632,16599.474,74.548,10246,-0.037
SingleSwingLearning,0.619,16685.286,76.781,10251,-0.036
SingleSwingLearning,0.677,16779.603,84.980,10265,-0.036
SingleSwingLearning,0.616,16872.987,83.934,10252,-0.035
SingleSwingLearning,0.618,16964.374,81.949,10256,-0.035
SingleSwingLearning,0.651,17059.047,85.291,10252,-0.034
SingleSwingLearning,0.642,17148.961,80.544,10278,-0.034
SingleSwingLearning,0.624,17239.294,81.136,10292,-0.033
SingleSwingLearning,0.636,17331.552,82.803,10256,-0.033
SingleSwingLearning,0.643,17417.429,76.634,10249,-0.033
SingleSwingLearning,0.633,17504.104,76.796,10255,-0.032
SingleSwingLearning,0.605,17590.561,75.996,10256,-0.032
SingleSwingLearning,0.651,17675.048,74.395,10254,-0.031
SingleSwingLearning,0.648,17762.165,77.015,10263,-0.031
SingleSwingLearning,0.580,17847.820,75.518,10241,-0.031
SingleSwingLearning,0.609,17929.264,71.536,10261,-0.030
SingleSwingLearning,0.639,18019.574,79.318,10259,-0.030
SingleSwingLearning,0.632,18109.170,78.445,10274,-0.029
SingleSwingLearning,0.629,18195.407,75.771,10293,-0.029
SingleSwingLearning,0.650,18277.113,71.811,10276,-0.029
SingleSwingLearning,0.643,18368.515,82.055,10268,-0.028
SingleSwingLearning,0.611,18455.042,77.504,10243,-0.028
SingleSwingLearning,0.617,18538.104,73.828,10250,-0.028
