idx,delta,thinkingTime,rot
177,0.03872806,1.279999,5.633299
178,0.1047046,2.779999,10.14717
179,0.1842048,3.199982,5.581412
180,0.4251693,0.7200012,9.829716
181,0.3065257,2.899994,12.89547
182,0.2955343,2.880005,13.3307
183,0.09399682,2.700012,7.104115
184,0.5144567,1.26001,7.304446
185,0.005876541,2.859985,6.24684
186,0.1165548,2.47998,10.7728
187,0.09363484,2.800049,13.91807
188,0.3740123,1.159973,13.72687
189,0.1840349,0.7600098,11.34476
190,0.1512946,1.640015,10.56647
191,0.02777451,2.5,7.197582
192,0.07529163,2.5,14.22225
193,0.4147015,1.580017,13.26062
194,0.006730556,0.539978,12.59085
195,0.05003577,1.559998,5.162072
196,0.1592813,2.639954,11.77384
197,0.1492541,0.6799927,6.60126
198,0.6947407,0.03997803,8.422822
199,0.231583,4.380005,10.56561
200,0.05122782,0.8400269,8.31219
201,0.1849427,2.959961,14.58078
202,0.1431718,2.899963,9.738504
203,0.05060744,4.799988,8.09772
204,0.05955833,2.179993,6.234732
205,0.1916755,3,12.33517
206,0.1782476,2.619995,5.337175
207,1.671916,0.03997803,14.74969
208,0.06424853,0.1799927,5.105047
209,0.1713753,2.73999,12.01654
210,0.1920789,0.9400024,7.035622
211,0.004580379,5.279968,8.063175
212,0.2068143,0.8800049,11.70548
213,0.1867187,2.579956,12.13476
214,0.1400909,1.440002,7.516659
215,0.01601654,0.4400024,10.60779
216,0.08152533,3.639954,10.46331
217,0.1812812,0.6200562,10.40669
218,0.1946125,2.76001,14.77459
219,0.2329574,1.179993,9.699878
220,0.02199125,5.959961,5.584249
221,0.1842479,3.119995,13.36186
222,0.1616458,2.640015,9.095604
223,0.3713534,1.26001,9.527933
224,0.2901223,2.960022,13.25397
225,0.1595964,2.619995,9.220655
226,0.09722316,2.780029,7.807732
227,0.006071836,4.73999,6.000397
228,0.1907454,3,14.66433
229,0.1628989,2.580017,14.34944
230,0.344473,1.079956,10.40163
231,0.2728789,3.059998,11.50438
232,0.1686353,2.440002,11.73365
233,0.1536368,2.779968,13.87176
234,0.3060535,1.26001,13.2584
235,0.06891513,3.280029,10.44459
236,0.09676814,1.140015,8.716234
237,0.1402495,4.280029,9.96257
238,0.3651143,0.8200073,14.07908
239,0.3406168,2.700012,13.10497
240,0.3101523,3.099976,5.350842
241,0.01043493,2.340027,11.87792
242,0.3476846,1.359985,11.84941
243,0.2204478,2.799988,10.62523
244,0.1412369,2.900024,13.52416
245,0.1562095,2.860046,7.196001
246,0.2202207,2.440002,8.895127
247,0.1907438,1.559998,13.55741
248,1.316669,0.02001953,11.77447
249,0.1838096,1.440002,14.07135
