idx,delta,thinkingTime,rot
178,0.08189094,7.840027,11.77986
179,1.475245,0.6799927,10.028
180,1.475245,0.6799927,10.028
181,0.5139859,1.460022,9.72152
182,1.312763,0.6599731,13.02612
183,0.2675756,6.679993,11.24654
184,0.1394283,0.3800049,12.71812
185,0.5475083,1.619995,11.79152
186,1.370936,0.6199951,13.77293
187,1.700549,2.119995,10.26445
188,0.3937978,0.2000122,11.72694
189,0.151883,2.320007,11.72679
190,0.7104589,0.4400024,7.884858
191,0.9656235,0.02001953,10.22484
192,2.365014,0.7199707,8.974154
193,1.423677,0.7600098,12.79582
194,0.3959583,3.039978,7.460686
195,0.3910461,2.860046,9.457619
196,0.8353093,0.2000122,9.490145
197,0.08166307,0.02001953,6.639066
198,0.6717733,1.039978,12.53676
199,0.05422163,7.880005,13.43357
200,0.9359033,0.6800537,13.62439
201,1.14459,0.02001953,12.69098
202,1.14459,0.02001953,12.69098
203,1.535376,0.7999878,14.41272
204,0.01623452,4.5,5.145271
205,0.7555673,3.76001,5.148221
206,0.0664432,1.840027,9.335124
207,1.295967,3.599976,7.7975
208,0.2257085,3.26001,11.47017
209,0.512662,0.4199829,6.436507
210,1.594606,0.02001953,14.24337
211,0.4312783,0.7399902,8.512204
212,0.2473577,4.619995,6.211568
213,0.1636899,0.02001953,11.54354
214,0.3067753,4.299988,6.593862
215,1.312077,0.4800415,5.189163
216,0.1551501,7.980042,12.47673
217,0.9889206,0.04003906,14.97101
218,0.7509148,0.02001953,7.790843
219,0.7316476,0.0199585,14.8119
220,0.8174613,0.9199829,12.79
221,0.2849199,4.660034,7.963642
222,1.519428,4.100037,5.293896
223,1.519428,4.100037,5.293896
224,0.2907895,1.259949,9.366109
225,0.2731889,8.140015,10.46318
226,1.717783,0.460022,8.240159
227,1.033445,1.299988,14.17677
228,1.08965,0.6799927,13.36219
229,1.438318,2.039978,10.8244
230,0.3854016,3.679993,13.23775
231,0.4538306,0.05999756,8.465187
232,0.5388758,0.03997803,12.37812
233,0.9359553,0.7999878,5.117598
