Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.694,1745.994,12.161,10256,0.911
SaverLearning,0.700,1759.871,12.436,10242,0.912
SaverLearning,0.702,1773.407,12.114,10252,0.912
SaverLearning,0.760,1787.065,12.173,10246,0.913
SaverLearning,0.707,1800.781,12.291,10244,0.914
SaverLearning,0.703,1814.448,12.223,10246,0.914
SaverLearning,0.703,1827.647,11.797,10243,0.915
SaverLearning,0.756,1840.881,11.784,10243,0.916
SaverLearning,0.701,1854.072,11.790,10245,0.916
SaverLearning,0.688,1867.215,11.768,10252,0.917
SaverLearning,0.698,1880.451,11.834,10241,0.917
SaverLearning,0.720,1893.582,11.702,10243,0.918
SaverLearning,0.688,1906.790,11.802,10249,0.919
SaverLearning,0.711,1919.940,11.713,10245,0.919
SaverLearning,0.718,1933.299,11.901,10248,0.920
SaverLearning,0.719,1946.575,11.847,10246,0.920
SaverLearning,0.707,1959.968,11.984,10247,0.921
SaverLearning,0.696,1973.370,11.988,10242,0.921
SaverLearning,0.712,1986.881,12.079,10247,0.922
SaverLearning,0.711,2000.657,12.327,10243,0.923
SaverLearning,0.701,2013.916,11.830,10250,0.923
SaverLearning,0.696,2027.354,12.005,10255,0.924
SaverLearning,0.698,2040.730,11.949,10253,0.924
SaverLearning,0.701,2054.157,11.990,10248,0.925
SaverLearning,0.693,2067.466,11.898,10249,0.925
SaverLearning,0.716,2080.539,11.662,10242,0.926
SaverLearning,0.693,2093.891,11.938,10245,0.926
SaverLearning,0.734,2107.211,11.860,10249,0.927
SaverLearning,0.706,2120.822,12.163,10249,0.927
SaverLearning,0.702,2134.433,12.161,10248,0.928
SaverLearning,0.695,2147.772,11.928,10244,0.928
SaverLearning,0.707,2161.166,11.959,10244,0.928
SaverLearning,0.701,2174.653,12.047,10242,0.929
SaverLearning,0.711,2188.210,12.118,10256,0.929
SaverLearning,0.707,2201.641,12.015,10241,0.930
SaverLearning,0.723,2215.176,12.095,10247,0.930
SaverLearning,0.703,2228.753,12.015,10247,0.931
SaverLearning,0.699,2242.357,12.153,10243,0.931
SaverLearning,0.721,2255.597,11.799,10253,0.932
SaverLearning,0.704,2268.855,11.836,10242,0.932
SaverLearning,0.693,2281.991,11.730,10245,0.932
SaverLearning,0.705,2295.509,12.088,10251,0.933
SaverLearning,0.715,2308.781,11.838,10250,0.933
SaverLearning,0.700,2321.989,11.805,10241,0.934
SaverLearning,0.731,2335.255,11.809,10248,0.934
SaverLearning,0.689,2348.498,11.848,10248,0.934
SaverLearning,0.693,2361.640,11.748,10245,0.935
SaverLearning,0.715,2374.883,11.809,10243,0.935
SaverLearning,0.698,2388.121,11.816,10247,0.935
SaverLearning,0.697,2401.356,11.822,10264,0.936
SaverLearning,0.705,2414.767,11.964,10245,0.936
SaverLearning,0.707,2427.957,11.764,10241,0.936
SaverLearning,0.703,2441.059,11.691,10247,0.937
SaverLearning,0.703,2454.166,11.699,10247,0.937
SaverLearning,0.711,2467.412,11.811,10253,0.938
SaverLearning,0.698,2480.800,11.950,10244,0.938
SaverLearning,0.700,2494.005,11.783,10243,0.938
SaverLearning,0.697,2507.247,11.820,10245,0.939
SaverLearning,0.701,2520.347,11.666,10241,0.939
SaverLearning,0.722,2533.548,11.784,10246,0.939
SaverLearning,0.707,2546.902,11.923,10249,0.940
SaverLearning,0.712,2559.987,11.654,10245,0.940
SaverLearning,0.712,2573.025,11.612,10243,0.940
SaverLearning,0.727,2586.472,11.981,10243,0.940
SaverLearning,0.702,2599.730,11.834,10261,0.941
