Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.903,18.587,15.937,10250,-0.197
SaverLearning,0.677,36.309,16.078,10248,-0.146
SaverLearning,0.681,54.715,16.705,10247,-0.060
SaverLearning,0.687,74.290,17.804,10241,0.025
SaverLearning,0.690,96.027,19.832,10241,0.106
SaverLearning,0.683,118.746,20.765,10245,0.171
SaverLearning,0.687,142.007,21.256,10241,0.220
SaverLearning,0.691,166.087,22.031,10241,0.264
SaverLearning,0.684,191.094,22.905,10243,0.302
SaverLearning,0.684,215.982,22.820,10245,0.339
SaverLearning,0.686,240.117,22.124,10241,0.373
SaverLearning,0.691,263.071,20.989,10242,0.405
SaverLearning,0.692,284.740,19.762,10246,0.434
SaverLearning,0.688,304.907,18.378,10249,0.460
SaverLearning,0.698,323.667,17.003,10242,0.484
SaverLearning,0.695,342.251,16.863,10243,0.506
SaverLearning,0.686,359.323,15.433,10242,0.526
SaverLearning,0.686,375.549,14.622,10246,0.544
SaverLearning,0.683,391.851,14.697,10257,0.562
SaverLearning,0.705,408.197,14.738,10251,0.578
SaverLearning,0.697,423.507,13.768,10248,0.593
SaverLearning,0.713,438.775,13.701,10243,0.607
SaverLearning,0.737,453.735,13.394,10246,0.620
SaverLearning,0.688,468.434,13.196,10242,0.632
SaverLearning,0.703,483.195,13.223,10249,0.644
SaverLearning,0.688,498.227,13.497,10248,0.655
SaverLearning,0.694,512.729,12.994,10250,0.665
SaverLearning,0.680,527.362,13.128,10252,0.675
SaverLearning,0.696,541.919,13.060,10252,0.685
SaverLearning,0.697,556.337,12.918,10246,0.694
SaverLearning,0.679,570.539,12.725,10243,0.702
SaverLearning,0.680,584.418,12.440,10245,0.710
SaverLearning,0.693,598.595,12.712,10250,0.717
SaverLearning,0.802,612.582,12.415,10243,0.724
SaverLearning,0.712,629.508,15.117,10248,0.731
SaverLearning,0.698,645.184,14.013,10241,0.737
SaverLearning,0.710,661.318,14.416,10251,0.744
SaverLearning,0.717,676.945,13.932,10246,0.750
SaverLearning,0.721,692.810,14.016,10252,0.755
SaverLearning,0.707,709.318,14.708,10241,0.760
SaverLearning,0.706,725.532,14.434,10247,0.766
SaverLearning,0.700,741.951,14.634,10246,0.770
SaverLearning,0.685,758.568,14.850,10244,0.775
SaverLearning,0.763,774.041,13.750,10251,0.780
SaverLearning,0.726,789.637,13.896,10252,0.784
SaverLearning,0.688,805.348,14.048,10243,0.788
SaverLearning,0.723,821.170,14.101,10250,0.792
SaverLearning,0.742,837.345,14.428,10246,0.796
SaverLearning,0.716,853.465,14.439,10251,0.800
SaverLearning,0.688,869.377,14.250,10247,0.804
SaverLearning,0.705,885.734,14.664,10241,0.807
SaverLearning,0.716,900.556,13.182,10241,0.810
SaverLearning,0.742,916.351,14.077,10242,0.814
SaverLearning,0.714,932.642,14.517,10249,0.817
SaverLearning,0.700,948.739,14.372,10246,0.820
SaverLearning,0.698,965.277,14.824,10242,0.823
SaverLearning,0.700,982.355,15.289,10242,0.826
SaverLearning,0.700,997.825,13.797,10247,0.828
SaverLearning,0.724,1014.363,14.757,10251,0.831
SaverLearning,0.713,1031.090,14.953,10248,0.834
SaverLearning,0.727,1047.928,15.053,10245,0.836
SaverLearning,0.711,1065.172,15.447,10249,0.838
SaverLearning,0.724,1081.988,15.040,10242,0.841
SaverLearning,0.721,1098.310,14.593,10245,0.843
SaverLearning,0.711,1115.327,15.232,10241,0.845
SaverLearning,0.734,1133.177,16.013,10258,0.847
SaverLearning,0.697,1149.295,14.395,10250,0.849
SaverLearning,0.718,1165.504,14.472,10249,0.851
SaverLearning,0.712,1182.240,14.911,10246,0.853
SaverLearning,0.728,1198.904,14.846,10252,0.855
SaverLearning,0.703,1215.975,15.283,10254,0.857
SaverLearning,0.701,1232.891,15.138,10248,0.859
SaverLearning,0.759,1250.128,15.374,10247,0.861
SaverLearning,0.708,1267.259,15.308,10243,0.863
SaverLearning,0.719,1285.101,15.964,10250,0.864
SaverLearning,0.725,1302.968,15.985,10245,0.866
SaverLearning,0.697,1318.547,13.906,10247,0.868
SaverLearning,0.741,1334.885,14.589,10256,0.869
SaverLearning,0.722,1350.717,14.140,10247,0.871
SaverLearning,0.760,1366.445,14.007,10247,0.872
SaverLearning,0.700,1382.679,14.532,10247,0.874
SaverLearning,0.754,1399.252,14.796,10245,0.875
SaverLearning,0.731,1415.301,14.318,10247,0.877
SaverLearning,0.705,1432.591,15.469,10244,0.878
SaverLearning,0.712,1450.119,15.657,10255,0.879
SaverLearning,0.707,1468.045,16.035,10246,0.881
SaverLearning,0.727,1485.761,15.834,10242,0.882
SaverLearning,0.736,1503.609,15.979,10244,0.883
SaverLearning,0.727,1520.225,14.823,10243,0.884
SaverLearning,0.760,1537.218,15.136,10246,0.886
SaverLearning,0.714,1554.027,14.921,10242,0.887
SaverLearning,0.715,1571.102,15.235,10243,0.888
SaverLearning,0.745,1587.093,14.215,10242,0.889
SaverLearning,0.715,1603.522,14.673,10242,0.890
SaverLearning,0.702,1620.174,14.928,10241,0.891
SaverLearning,0.696,1636.653,14.777,10248,0.892
SaverLearning,0.712,1653.038,14.656,10253,0.893
SaverLearning,0.697,1669.416,14.633,10254,0.894
SaverLearning,0.710,1686.280,15.066,10246,0.895
SaverLearning,0.788,1703.446,15.228,10242,0.896
SaverLearning,0.738,1721.034,15.624,10246,0.897
SaverLearning,0.721,1738.809,15.829,10242,0.898
SaverLearning,0.716,1754.883,14.291,10245,0.899
SaverLearning,0.702,1771.197,14.525,10242,0.900
SaverLearning,0.702,1787.062,14.155,10243,0.901
