Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.706,2054.756,15.137,10241,0.953
SaverLearning,0.680,2071.898,15.421,10242,0.953
SaverLearning,0.686,2089.194,15.570,10244,0.953
SaverLearning,0.688,2106.168,15.217,10243,0.954
SaverLearning,0.685,2123.455,15.601,10247,0.954
SaverLearning,0.686,2140.573,15.409,10249,0.955
SaverLearning,0.683,2157.721,15.419,10242,0.955
SaverLearning,0.686,2174.819,15.407,10253,0.955
SaverLearning,0.692,2191.681,15.158,10241,0.956
SaverLearning,0.686,2208.935,15.517,10247,0.956
SaverLearning,0.693,2225.959,15.319,10244,0.956
SaverLearning,0.683,2242.825,15.174,10248,0.957
SaverLearning,0.694,2260.002,15.472,10241,0.957
SaverLearning,0.682,2277.418,15.667,10246,0.957
SaverLearning,0.675,2293.921,14.807,10241,0.958
SaverLearning,0.678,2310.368,14.741,10245,0.958
SaverLearning,0.701,2326.962,14.879,10248,0.958
SaverLearning,0.681,2344.589,15.912,10249,0.959
SaverLearning,0.689,2362.420,16.110,10241,0.959
SaverLearning,0.677,2380.207,16.068,10246,0.959
SaverLearning,0.746,2397.786,15.821,10251,0.959
SaverLearning,0.701,2415.114,15.610,10244,0.960
SaverLearning,0.724,2432.601,15.705,10242,0.960
SaverLearning,0.692,2449.855,15.557,10249,0.960
SaverLearning,0.701,2467.767,16.143,10245,0.960
SaverLearning,0.715,2485.453,15.927,10245,0.961
SaverLearning,0.686,2502.825,15.656,10249,0.961
SaverLearning,0.673,2520.044,15.517,10243,0.961
SaverLearning,0.683,2537.665,15.892,10242,0.962
SaverLearning,0.685,2555.487,15.974,10242,0.962
SaverLearning,0.687,2572.532,15.341,10246,0.962
SaverLearning,0.708,2589.884,15.612,10251,0.962
SaverLearning,0.704,2607.298,15.661,10248,0.963
SaverLearning,0.682,2625.021,16.001,10260,0.963
SaverLearning,0.685,2642.145,15.413,10243,0.963
SaverLearning,0.686,2659.856,15.992,10242,0.963
SaverLearning,0.690,2677.367,15.784,10248,0.964
SaverLearning,0.688,2694.800,15.703,10246,0.964
SaverLearning,0.677,2712.347,15.815,10241,0.964
SaverLearning,0.711,2729.547,15.454,10245,0.964
SaverLearning,0.716,2747.207,15.882,10252,0.964
SaverLearning,0.739,2764.394,15.422,10251,0.965
SaverLearning,0.677,2781.877,15.784,10255,0.965
SaverLearning,0.698,2799.465,15.823,10241,0.965
SaverLearning,0.690,2816.390,15.188,10247,0.965
SaverLearning,0.687,2834.153,16.038,10247,0.965
SaverLearning,0.698,2851.678,15.782,10244,0.966
SaverLearning,0.691,2869.033,15.617,10243,0.966
SaverLearning,0.723,2885.849,15.063,10245,0.966
SaverLearning,0.682,2903.325,15.759,10241,0.966
SaverLearning,0.685,2921.031,15.961,10254,0.966
SaverLearning,0.694,2938.380,15.585,10247,0.967
SaverLearning,0.692,2955.746,15.616,10247,0.967
SaverLearning,0.699,2972.962,15.454,10243,0.967
SaverLearning,0.691,2990.636,15.882,10247,0.967
SaverLearning,0.692,3008.232,15.852,10243,0.967
SaverLearning,0.687,3025.650,15.661,10245,0.968
SaverLearning,0.701,3043.628,16.185,10241,0.968
SaverLearning,0.684,3061.328,15.973,10245,0.968
SaverLearning,0.697,3079.260,16.163,10242,0.968
SaverLearning,0.721,3097.038,15.959,10242,0.968
SaverLearning,0.687,3114.601,15.858,10260,0.968
SaverLearning,0.690,3132.446,16.079,10242,0.969
SaverLearning,0.741,3150.221,15.953,10246,0.969
SaverLearning,0.779,3168.218,16.161,10242,0.969
SaverLearning,0.716,3186.039,16.061,10243,0.969
SaverLearning,0.705,3204.131,16.320,10251,0.969
SaverLearning,0.703,3222.356,16.355,10251,0.969
SaverLearning,0.690,3240.691,16.573,10245,0.970
SaverLearning,0.682,3258.514,16.067,10248,0.970
SaverLearning,0.692,3276.033,15.767,10242,0.970
SaverLearning,0.694,3293.718,15.940,10245,0.970
SaverLearning,0.723,3311.059,15.560,10248,0.970
SaverLearning,0.734,3327.502,14.656,10248,0.970
SaverLearning,0.698,3344.194,14.928,10245,0.971
SaverLearning,0.736,3360.926,14.923,10248,0.971
SaverLearning,0.726,3379.131,16.404,10242,0.971
SaverLearning,0.697,3397.416,16.544,10249,0.971
SaverLearning,0.698,3415.483,16.314,10241,0.971
SaverLearning,0.685,3432.891,15.670,10242,0.971
SaverLearning,0.690,3450.494,15.853,10241,0.971
SaverLearning,0.721,3468.422,16.141,10243,0.972
SaverLearning,0.692,3486.164,15.969,10243,0.972
SaverLearning,0.697,3503.792,15.869,10243,0.972
SaverLearning,0.746,3521.229,15.622,10245,0.972
