Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.024,636.246,2.889,161,0.709
SaverLearning,3.012,642.390,2.997,161,0.710
SaverLearning,3.023,648.692,3.141,161,0.710
SaverLearning,3.022,654.572,2.742,162,0.711
SaverLearning,3.033,660.597,2.867,161,0.711
SaverLearning,3.026,666.489,2.740,162,0.712
SaverLearning,3.133,672.222,2.494,161,0.712
SaverLearning,3.028,677.984,2.617,161,0.712
SaverLearning,3.053,684.122,2.949,161,0.713
SaverLearning,3.085,690.320,2.977,163,0.713
SaverLearning,3.048,696.164,2.680,161,0.713
SaverLearning,3.077,701.978,2.624,163,0.713
SaverLearning,3.072,707.705,2.541,161,0.713
SaverLearning,3.066,713.655,2.757,161,0.714
SaverLearning,3.000,719.353,2.583,161,0.715
SaverLearning,3.058,725.465,2.923,161,0.715
SaverLearning,2.981,731.083,2.528,161,0.715
SaverLearning,3.021,737.227,2.994,162,0.714
SaverLearning,3.055,743.316,2.904,161,0.714
SaverLearning,3.018,749.428,2.962,162,0.714
SaverLearning,3.105,755.595,2.934,161,0.714
SaverLearning,3.041,761.546,2.784,161,0.714
SaverLearning,3.036,767.367,2.668,161,0.715
SaverLearning,3.019,772.837,2.349,162,0.714
SaverLearning,3.067,778.232,2.229,161,0.715
SaverLearning,2.999,783.953,2.610,161,0.715
SaverLearning,3.054,789.627,2.507,161,0.716
SaverLearning,3.023,795.799,3.011,161,0.716
SaverLearning,3.082,801.805,2.797,162,0.716
SaverLearning,3.044,807.575,2.613,161,0.716
SaverLearning,3.005,813.323,2.627,161,0.717
SaverLearning,3.087,819.349,2.818,161,0.717
SaverLearning,2.988,825.005,2.552,161,0.717
SaverLearning,3.041,830.598,2.437,161,0.718
SaverLearning,3.041,836.306,2.556,161,0.719
SaverLearning,3.063,842.130,2.651,162,0.719
SaverLearning,3.003,847.803,2.560,162,0.719
SaverLearning,3.027,853.346,2.410,162,0.719
SaverLearning,3.048,859.296,2.780,161,0.719
SaverLearning,3.037,864.944,2.504,161,0.720
SaverLearning,3.008,870.330,2.280,162,0.720
SaverLearning,3.052,875.958,2.471,162,0.721
SaverLearning,3.061,881.607,2.481,161,0.721
SaverLearning,3.029,887.155,2.414,162,0.721
SaverLearning,3.017,892.635,2.361,161,0.722
SaverLearning,3.087,898.285,2.458,161,0.722
SaverLearning,3.030,904.184,2.744,161,0.722
SaverLearning,3.002,910.093,2.783,161,0.722
SaverLearning,3.085,915.798,2.509,162,0.722
SaverLearning,3.022,921.605,2.669,161,0.722
SaverLearning,3.026,927.361,2.616,161,0.723
SaverLearning,3.036,932.542,2.050,161,0.723
SaverLearning,3.048,937.928,2.237,161,0.724
SaverLearning,3.053,943.903,2.796,161,0.724
SaverLearning,3.023,949.290,2.262,161,0.724
SaverLearning,3.028,954.638,2.224,161,0.725
SaverLearning,2.983,960.377,2.636,161,0.725
SaverLearning,3.028,966.114,2.592,161,0.725
SaverLearning,3.027,971.845,2.586,161,0.725
SaverLearning,3.000,977.462,2.504,162,0.726
SaverLearning,3.039,982.753,2.159,161,0.726
SaverLearning,3.031,988.348,2.459,161,0.726
SaverLearning,3.111,993.605,2.053,161,0.727
SaverLearning,3.048,999.186,2.429,162,0.727
SaverLearning,3.106,1004.594,2.198,162,0.727
SaverLearning,3.039,1010.281,2.531,161,0.728
SaverLearning,3.054,1015.958,2.510,162,0.728
SaverLearning,3.098,1021.136,1.994,162,0.729
SaverLearning,3.116,1026.485,2.139,161,0.729
SaverLearning,3.074,1031.757,2.105,162,0.729
SaverLearning,3.048,1036.913,2.020,161,0.730
SaverLearning,3.069,1042.353,2.273,162,0.731
SaverLearning,3.082,1047.754,2.215,163,0.731
SaverLearning,3.034,1053.097,2.205,162,0.732
