Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.942,16.265,13.525,10245,-0.335
SaverLearning,0.699,31.413,13.508,10244,-0.302
SaverLearning,0.769,47.347,14.161,10247,-0.251
SaverLearning,0.714,63.858,14.735,10251,-0.178
SaverLearning,0.702,81.536,15.866,10248,-0.104
SaverLearning,0.735,101.170,17.699,10241,-0.036
SaverLearning,0.698,120.278,17.225,10246,0.015
SaverLearning,0.714,139.351,17.183,10243,0.064
SaverLearning,0.714,158.416,17.157,10241,0.111
SaverLearning,0.717,176.708,16.441,10244,0.156
SaverLearning,0.722,193.407,14.935,10243,0.197
SaverLearning,0.704,208.429,13.380,10247,0.237
SaverLearning,0.751,222.046,12.039,10241,0.274
SaverLearning,0.699,235.126,11.572,10251,0.307
SaverLearning,0.709,247.520,10.927,10245,0.337
SaverLearning,0.689,259.348,10.411,10248,0.364
SaverLearning,0.692,270.801,10.052,10257,0.388
SaverLearning,0.695,282.202,10.016,10254,0.410
SaverLearning,0.696,293.502,9.916,10249,0.432
SaverLearning,0.691,304.535,9.666,10253,0.452
SaverLearning,0.703,315.384,9.488,10263,0.471
SaverLearning,0.719,326.390,9.599,10247,0.488
SaverLearning,0.700,337.170,9.430,10256,0.504
SaverLearning,0.745,347.994,9.421,10254,0.519
SaverLearning,0.707,358.634,9.280,10253,0.533
SaverLearning,0.710,368.998,9.033,10261,0.546
SaverLearning,0.699,379.256,8.947,10251,0.558
SaverLearning,0.709,389.353,8.781,10252,0.570
SaverLearning,0.708,399.490,8.799,10244,0.580
SaverLearning,0.722,409.547,8.712,10271,0.591
SaverLearning,0.707,419.632,8.777,10241,0.600
SaverLearning,0.707,429.747,8.797,10261,0.609
SaverLearning,0.708,439.483,8.419,10244,0.618
SaverLearning,0.707,449.177,8.385,10262,0.626
SaverLearning,0.758,458.917,8.395,10243,0.633
SaverLearning,0.706,468.545,8.333,10241,0.641
SaverLearning,0.706,478.544,8.673,10255,0.648
SaverLearning,0.692,488.357,8.501,10243,0.655
SaverLearning,0.712,498.202,8.511,10259,0.661
SaverLearning,0.703,507.820,8.334,10245,0.667
SaverLearning,0.706,517.442,8.318,10254,0.673
SaverLearning,0.707,527.163,8.406,10242,0.679
SaverLearning,0.705,536.873,8.398,10250,0.685
SaverLearning,0.697,546.633,8.475,10247,0.690
SaverLearning,0.707,556.360,8.422,10250,0.695
SaverLearning,0.731,566.053,8.356,10252,0.700
SaverLearning,0.722,575.864,8.475,10253,0.705
SaverLearning,0.710,585.585,8.411,10242,0.710
SaverLearning,0.701,595.169,8.297,10241,0.715
SaverLearning,0.704,604.958,8.479,10241,0.719
SaverLearning,0.695,615.081,8.815,10249,0.723
SaverLearning,0.715,625.022,8.625,10245,0.727
SaverLearning,0.705,634.980,8.567,10243,0.731
SaverLearning,0.718,644.857,8.571,10246,0.735
SaverLearning,0.704,654.862,8.697,10246,0.739
SaverLearning,0.703,664.936,8.758,10258,0.742
SaverLearning,0.702,674.868,8.644,10241,0.746
SaverLearning,0.696,684.810,8.651,10253,0.750
SaverLearning,0.698,694.671,8.558,10241,0.753
SaverLearning,0.698,704.697,8.717,10249,0.756
SaverLearning,0.706,714.256,8.298,10252,0.759
SaverLearning,0.752,724.127,8.532,10249,0.762
SaverLearning,0.699,733.869,8.459,10251,0.765
SaverLearning,0.710,743.842,8.649,10241,0.768
SaverLearning,0.725,754.081,8.895,10269,0.771
SaverLearning,0.736,764.679,9.227,10242,0.774
SaverLearning,0.701,775.233,9.200,10248,0.777
SaverLearning,0.712,785.715,9.135,10242,0.780
SaverLearning,0.710,795.988,8.922,10242,0.783
SaverLearning,0.711,806.164,8.825,10242,0.785
SaverLearning,0.697,816.393,8.914,10250,0.788
SaverLearning,0.706,826.576,8.860,10267,0.791
SaverLearning,0.703,836.656,8.757,10258,0.793
SaverLearning,0.690,846.944,8.960,10249,0.796
SaverLearning,0.721,857.157,8.857,10244,0.798
SaverLearning,0.707,867.175,8.715,10241,0.800
SaverLearning,0.727,877.410,8.886,10252,0.803
SaverLearning,0.705,887.378,8.656,10245,0.805
SaverLearning,0.714,897.625,8.900,10256,0.807
SaverLearning,0.707,907.961,8.977,10242,0.809
SaverLearning,0.708,918.334,9.040,10248,0.811
SaverLearning,0.707,928.726,9.056,10247,0.813
SaverLearning,0.689,939.010,8.956,10249,0.815
SaverLearning,0.711,949.343,8.982,10246,0.817
SaverLearning,0.712,959.907,9.179,10245,0.819
SaverLearning,0.703,970.270,9.009,10245,0.821
SaverLearning,0.720,980.932,9.282,10251,0.823
SaverLearning,0.720,991.425,9.124,10246,0.825
SaverLearning,0.711,1001.886,9.106,10254,0.826
SaverLearning,0.730,1012.430,9.151,10242,0.828
SaverLearning,0.690,1022.773,8.995,10250,0.830
SaverLearning,0.707,1033.052,8.945,10243,0.831
SaverLearning,0.724,1043.318,8.909,10261,0.833
SaverLearning,0.707,1053.668,8.998,10242,0.835
SaverLearning,0.710,1063.909,8.886,10243,0.836
SaverLearning,0.716,1074.095,8.820,10248,0.838
SaverLearning,0.704,1084.193,8.757,10262,0.839
SaverLearning,0.712,1094.477,8.942,10243,0.841
SaverLearning,0.693,1104.833,9.023,10263,0.842
SaverLearning,0.698,1115.022,8.858,10247,0.843
SaverLearning,0.734,1125.091,8.710,10253,0.845
SaverLearning,0.714,1135.184,8.756,10253,0.846
SaverLearning,0.712,1145.293,8.784,10242,0.847
SaverLearning,0.710,1155.488,8.858,10254,0.849
SaverLearning,0.703,1165.731,8.901,10260,0.850
SaverLearning,0.707,1176.286,9.187,10244,0.851
SaverLearning,0.708,1186.841,9.181,10253,0.853
SaverLearning,0.700,1197.078,8.913,10250,0.854
SaverLearning,0.705,1207.409,8.986,10243,0.855
SaverLearning,0.727,1218.058,9.260,10248,0.856
SaverLearning,0.698,1228.630,9.212,10244,0.857
SaverLearning,0.705,1239.215,9.210,10248,0.859
SaverLearning,0.697,1249.536,8.970,10243,0.860
SaverLearning,0.752,1259.871,8.963,10254,0.861
SaverLearning,0.707,1270.507,9.179,10248,0.862
SaverLearning,0.715,1280.875,9.003,10241,0.863
SaverLearning,0.719,1291.311,9.062,10250,0.864
SaverLearning,0.704,1301.931,9.251,10247,0.865
SaverLearning,0.700,1312.444,9.150,10242,0.866
SaverLearning,0.744,1323.155,9.302,10246,0.867
SaverLearning,0.713,1333.660,9.149,10246,0.868
SaverLearning,0.735,1343.881,8.843,10255,0.869
SaverLearning,0.706,1354.334,9.093,10257,0.870
SaverLearning,0.713,1364.792,9.090,10245,0.871
SaverLearning,0.711,1375.422,9.231,10247,0.872
SaverLearning,0.707,1385.796,9.025,10248,0.873
SaverLearning,0.703,1396.182,9.036,10248,0.874
SaverLearning,0.709,1406.580,9.044,10241,0.875
SaverLearning,0.708,1416.962,9.024,10245,0.876
SaverLearning,0.690,1427.355,9.041,10248,0.877
SaverLearning,0.712,1437.898,9.156,10253,0.878
SaverLearning,0.732,1448.413,9.130,10242,0.879
SaverLearning,0.704,1458.898,9.131,10241,0.879
SaverLearning,0.702,1469.200,8.945,10257,0.880
SaverLearning,0.713,1479.729,9.138,10246,0.881
SaverLearning,0.708,1490.376,9.250,10243,0.882
SaverLearning,0.710,1500.833,9.073,10247,0.883
SaverLearning,0.706,1511.460,9.233,10251,0.884
SaverLearning,0.705,1521.793,8.972,10265,0.884
SaverLearning,0.720,1532.356,9.171,10255,0.885
SaverLearning,0.703,1542.603,8.894,10251,0.886
SaverLearning,0.735,1553.151,9.137,10249,0.887
SaverLearning,0.709,1563.176,8.672,10243,0.887
SaverLearning,0.727,1573.300,8.753,10243,0.888
SaverLearning,0.712,1583.444,8.797,10257,0.889
SaverLearning,0.723,1593.571,8.756,10256,0.890
SaverLearning,0.706,1603.665,8.731,10245,0.890
SaverLearning,0.713,1613.914,8.876,10248,0.891
SaverLearning,0.711,1624.181,8.880,10248,0.892
SaverLearning,0.713,1634.525,8.975,10246,0.892
SaverLearning,0.706,1645.537,9.583,10241,0.893
SaverLearning,0.696,1656.674,9.699,10249,0.894
SaverLearning,0.711,1668.061,9.914,10254,0.894
SaverLearning,0.715,1679.774,10.175,10243,0.895
SaverLearning,0.710,1691.311,10.020,10246,0.896
SaverLearning,0.719,1703.682,10.777,10247,0.896
SaverLearning,0.718,1715.374,10.185,10249,0.897
SaverLearning,0.735,1727.199,10.275,10253,0.897
SaverLearning,0.752,1738.492,9.769,10248,0.898
SaverLearning,0.721,1750.028,10.002,10255,0.899
SaverLearning,0.714,1762.211,10.581,10251,0.899
SaverLearning,0.714,1774.407,10.628,10245,0.900
