Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.078,527.620,1.079,161,0.620
SaverLearning,3.043,531.793,1.080,161,0.623
SaverLearning,3.074,535.932,1.019,161,0.625
SaverLearning,3.014,539.924,0.936,164,0.627
SaverLearning,3.076,544.026,0.982,162,0.630
SaverLearning,3.049,548.179,1.056,162,0.632
SaverLearning,3.076,552.291,0.989,161,0.634
SaverLearning,3.034,556.314,0.949,162,0.637
SaverLearning,2.968,560.310,0.988,166,0.639
SaverLearning,2.978,564.244,0.916,162,0.641
SaverLearning,3.064,568.397,1.042,161,0.644
SaverLearning,3.085,572.391,0.874,164,0.646
SaverLearning,2.979,576.351,0.941,162,0.648
SaverLearning,3.040,580.369,0.940,164,0.651
SaverLearning,3.076,584.295,0.815,163,0.653
SaverLearning,3.143,588.367,0.890,164,0.655
SaverLearning,3.097,592.351,0.850,161,0.657
SaverLearning,3.064,596.415,0.958,161,0.658
SaverLearning,3.117,600.587,1.011,166,0.661
SaverLearning,3.100,604.650,0.921,162,0.663
SaverLearning,3.096,608.751,0.960,161,0.664
SaverLearning,3.018,612.742,0.930,161,0.666
SaverLearning,3.109,616.876,0.981,163,0.668
SaverLearning,3.057,620.980,1.000,161,0.670
SaverLearning,3.166,625.213,1.018,161,0.672
SaverLearning,3.055,629.240,0.930,161,0.673
SaverLearning,3.061,633.333,0.987,163,0.675
SaverLearning,3.088,637.431,0.971,162,0.677
SaverLearning,3.095,641.552,0.985,162,0.679
SaverLearning,3.110,645.741,1.035,162,0.680
SaverLearning,3.120,649.933,1.027,162,0.682
SaverLearning,3.121,653.947,0.857,163,0.684
SaverLearning,3.126,658.057,0.943,167,0.685
SaverLearning,3.100,662.124,0.924,161,0.687
SaverLearning,3.048,666.171,0.958,161,0.688
SaverLearning,3.033,670.224,0.978,164,0.690
SaverLearning,3.077,674.291,0.947,165,0.691
SaverLearning,3.028,678.416,1.050,165,0.693
SaverLearning,3.070,682.376,0.852,161,0.694
SaverLearning,3.025,686.349,0.909,162,0.696
SaverLearning,3.096,690.385,0.900,163,0.698
SaverLearning,3.101,694.464,0.936,163,0.699
SaverLearning,3.079,698.424,0.842,163,0.700
SaverLearning,3.091,702.533,0.973,163,0.702
SaverLearning,3.123,706.654,0.952,161,0.703
SaverLearning,3.116,710.697,0.890,162,0.705
SaverLearning,3.056,714.630,0.844,161,0.706
SaverLearning,3.059,718.604,0.878,161,0.708
SaverLearning,3.013,722.522,0.871,161,0.709
SaverLearning,3.082,726.570,0.927,165,0.710
SaverLearning,3.071,730.540,0.861,162,0.712
SaverLearning,3.037,734.499,0.886,164,0.713
SaverLearning,3.103,738.604,0.961,165,0.715
SaverLearning,3.079,742.660,0.938,161,0.716
SaverLearning,3.078,746.693,0.914,165,0.717
SaverLearning,3.097,750.755,0.925,162,0.719
SaverLearning,3.097,754.738,0.847,162,0.720
SaverLearning,3.107,758.939,1.046,161,0.721
SaverLearning,3.032,762.955,0.941,162,0.722
SaverLearning,3.058,766.970,0.913,162,0.723
SaverLearning,3.124,771.033,0.898,162,0.725
SaverLearning,3.100,775.210,1.030,161,0.726
SaverLearning,3.075,779.260,0.933,161,0.727
SaverLearning,3.129,783.320,0.890,162,0.728
SaverLearning,3.079,787.398,0.952,162,0.729
SaverLearning,3.119,791.405,0.852,161,0.730
SaverLearning,3.076,795.492,0.969,163,0.731
SaverLearning,3.052,799.568,0.984,161,0.732
SaverLearning,3.016,803.522,0.898,162,0.734
SaverLearning,3.081,807.533,0.891,162,0.735
SaverLearning,3.049,811.629,1.003,163,0.735
SaverLearning,3.077,815.670,0.924,162,0.736
SaverLearning,3.032,819.844,1.096,163,0.738
SaverLearning,3.136,823.940,0.920,161,0.739
SaverLearning,3.083,827.956,0.893,163,0.740
SaverLearning,3.131,832.172,1.040,163,0.741
SaverLearning,3.085,836.213,0.913,162,0.742
SaverLearning,3.063,840.248,0.928,162,0.743
SaverLearning,3.054,844.441,1.089,161,0.744
SaverLearning,3.068,848.560,1.004,163,0.745
SaverLearning,3.070,852.738,1.060,162,0.746
SaverLearning,3.081,856.808,0.946,162,0.747
SaverLearning,3.070,860.823,0.902,163,0.748
SaverLearning,3.097,864.848,0.891,163,0.749
SaverLearning,3.084,868.896,0.924,165,0.750
SaverLearning,3.114,873.036,0.983,163,0.750
SaverLearning,3.058,877.106,0.971,162,0.751
SaverLearning,3.055,881.120,0.920,162,0.752
SaverLearning,3.076,885.233,0.996,161,0.753
SaverLearning,3.043,889.438,1.113,162,0.754
SaverLearning,3.047,893.541,1.011,162,0.755
SaverLearning,3.041,897.745,1.114,161,0.756
SaverLearning,3.042,901.930,1.095,161,0.756
SaverLearning,3.030,905.978,0.972,161,0.757
SaverLearning,3.012,910.013,0.980,161,0.758
SaverLearning,3.066,914.150,1.024,167,0.759
SaverLearning,3.069,918.175,0.914,163,0.760
SaverLearning,3.052,922.354,1.078,161,0.761
SaverLearning,3.108,926.459,0.953,161,0.762
SaverLearning,3.108,930.566,0.957,163,0.763
SaverLearning,3.087,934.741,1.037,162,0.764
SaverLearning,3.100,938.912,1.028,162,0.765
SaverLearning,3.059,943.019,1.007,161,0.765
SaverLearning,3.079,947.109,0.969,164,0.766
SaverLearning,3.111,951.030,0.780,162,0.767
SaverLearning,3.095,955.047,0.884,161,0.768
SaverLearning,3.122,958.973,0.771,168,0.769
SaverLearning,3.112,962.918,0.800,162,0.769
SaverLearning,3.120,966.911,0.838,162,0.770
SaverLearning,3.053,970.817,0.817,162,0.771
SaverLearning,3.110,974.825,0.859,161,0.772
SaverLearning,3.040,978.779,0.875,164,0.772
SaverLearning,3.094,982.717,0.809,162,0.773
SaverLearning,3.112,986.620,0.757,162,0.774
SaverLearning,3.068,990.523,0.798,162,0.774
SaverLearning,3.092,994.410,0.761,161,0.775
SaverLearning,3.104,998.305,0.758,165,0.776
SaverLearning,3.094,1002.202,0.768,163,0.777
SaverLearning,3.096,1006.120,0.785,164,0.777
SaverLearning,3.085,1010.070,0.825,166,0.778
SaverLearning,3.064,1014.053,0.877,164,0.779
SaverLearning,3.069,1017.990,0.829,161,0.780
SaverLearning,3.118,1022.018,0.867,165,0.780
SaverLearning,3.073,1025.923,0.800,161,0.781
SaverLearning,3.109,1029.959,0.888,161,0.782
SaverLearning,3.090,1034.013,0.926,166,0.783
SaverLearning,3.014,1038.049,0.980,163,0.783
SaverLearning,3.063,1042.274,1.112,164,0.784
SaverLearning,3.126,1046.463,1.019,164,0.785
SaverLearning,3.108,1050.717,1.095,163,0.785
SaverLearning,3.041,1054.766,0.966,162,0.786
SaverLearning,3.098,1058.916,1.007,163,0.786
SaverLearning,3.108,1063.082,1.012,161,0.787
SaverLearning,3.091,1067.072,0.860,161,0.788
SaverLearning,3.080,1071.278,1.077,162,0.788
SaverLearning,3.155,1075.464,0.987,161,0.789
SaverLearning,3.056,1079.578,1.009,163,0.789
SaverLearning,3.102,1083.627,0.904,163,0.790
SaverLearning,3.119,1087.762,0.970,161,0.791
SaverLearning,3.101,1091.859,0.951,164,0.791
SaverLearning,3.077,1095.802,0.826,162,0.792
SaverLearning,3.153,1099.818,0.829,167,0.792
SaverLearning,3.106,1103.935,0.968,163,0.793
SaverLearning,3.063,1107.890,0.857,161,0.794
SaverLearning,3.092,1111.950,0.929,164,0.794
SaverLearning,3.070,1115.830,0.778,163,0.795
SaverLearning,3.089,1119.660,0.709,161,0.795
SaverLearning,3.071,1123.476,0.714,164,0.796
SaverLearning,3.073,1127.322,0.742,163,0.797
SaverLearning,3.139,1131.243,0.749,164,0.797
SaverLearning,3.061,1135.126,0.786,165,0.798
SaverLearning,3.035,1138.957,0.763,161,0.799
SaverLearning,3.021,1142.748,0.736,161,0.799
SaverLearning,3.051,1146.605,0.771,163,0.800
SaverLearning,3.114,1150.497,0.745,162,0.800
SaverLearning,3.029,1154.370,0.805,164,0.801
SaverLearning,3.056,1158.324,0.859,164,0.801
SaverLearning,3.069,1162.327,0.891,163,0.802
SaverLearning,3.112,1166.216,0.741,162,0.802
SaverLearning,3.039,1170.020,0.732,163,0.803
SaverLearning,3.010,1173.907,0.837,161,0.803
SaverLearning,3.072,1177.774,0.760,162,0.804
SaverLearning,3.120,1181.692,0.760,163,0.805
SaverLearning,3.063,1185.571,0.780,162,0.805
SaverLearning,3.106,1189.609,0.896,164,0.806
SaverLearning,3.086,1193.660,0.926,165,0.806
SaverLearning,3.075,1197.611,0.840,167,0.807
SaverLearning,3.060,1201.526,0.818,163,0.807
SaverLearning,3.076,1205.484,0.844,162,0.808
SaverLearning,3.098,1209.418,0.802,161,0.808
SaverLearning,3.062,1213.297,0.784,164,0.808
SaverLearning,3.071,1217.342,0.933,162,0.809
SaverLearning,3.060,1221.334,0.893,162,0.809
SaverLearning,3.096,1225.338,0.869,165,0.810
SaverLearning,3.155,1229.442,0.910,165,0.810
