Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,0.952,15.932,13.175,10244,-0.334
SaverLearning,0.685,30.359,12.827,10244,-0.294
SaverLearning,0.699,45.292,13.260,10245,-0.227
SaverLearning,0.695,61.088,14.052,10248,-0.157
SaverLearning,0.688,78.008,15.138,10244,-0.084
SaverLearning,0.683,95.601,15.737,10241,-0.020
SaverLearning,0.704,112.926,15.488,10243,0.037
SaverLearning,0.699,130.297,15.511,10242,0.090
SaverLearning,0.712,147.409,15.279,10245,0.140
SaverLearning,0.720,164.149,14.917,10244,0.189
SaverLearning,0.699,179.358,13.526,10251,0.233
SaverLearning,0.693,193.206,12.259,10247,0.273
SaverLearning,0.710,206.384,11.615,10246,0.309
SaverLearning,0.696,218.986,11.068,10244,0.341
SaverLearning,0.690,231.176,10.711,10249,0.370
SaverLearning,0.706,242.771,10.135,10247,0.397
SaverLearning,0.727,254.159,9.938,10246,0.421
SaverLearning,0.690,265.398,9.814,10244,0.444
SaverLearning,0.699,276.221,9.421,10244,0.465
SaverLearning,0.738,286.785,9.152,10241,0.484
SaverLearning,0.698,297.127,8.971,10245,0.501
SaverLearning,0.721,307.601,9.086,10243,0.518
SaverLearning,0.687,317.834,8.884,10242,0.533
SaverLearning,0.742,328.005,8.758,10254,0.547
SaverLearning,0.701,338.102,8.740,10257,0.560
SaverLearning,0.698,347.827,8.420,10243,0.572
SaverLearning,0.692,357.544,8.422,10252,0.584
SaverLearning,0.678,367.042,8.215,10251,0.594
SaverLearning,0.681,376.639,8.297,10243,0.604
SaverLearning,0.677,386.261,8.307,10263,0.613
SaverLearning,0.668,395.770,8.234,10248,0.622
SaverLearning,0.674,405.061,8.028,10252,0.631
SaverLearning,0.717,414.534,8.157,10249,0.639
SaverLearning,0.763,424.207,8.295,10250,0.647
SaverLearning,0.711,433.669,8.134,10242,0.654
SaverLearning,0.687,442.919,7.983,10242,0.661
SaverLearning,0.698,452.210,8.008,10241,0.668
SaverLearning,0.692,461.566,8.065,10246,0.674
SaverLearning,0.681,470.717,7.868,10246,0.680
SaverLearning,0.683,480.197,8.148,10246,0.686
SaverLearning,0.673,489.531,8.070,10257,0.692
SaverLearning,0.677,498.860,8.055,10241,0.697
SaverLearning,0.693,508.332,8.173,10249,0.702
SaverLearning,0.684,517.824,8.183,10245,0.707
SaverLearning,0.735,527.103,7.938,10251,0.712
SaverLearning,0.679,536.817,8.450,10254,0.717
SaverLearning,0.680,546.397,8.286,10241,0.721
SaverLearning,0.684,555.864,8.179,10245,0.726
SaverLearning,0.682,565.329,8.175,10251,0.730
SaverLearning,0.685,574.711,8.091,10255,0.734
SaverLearning,0.682,584.160,8.165,10258,0.738
SaverLearning,0.662,593.747,8.207,10242,0.742
SaverLearning,0.680,603.599,8.519,10245,0.746
SaverLearning,0.712,613.589,8.620,10241,0.750
SaverLearning,0.679,623.635,8.736,10250,0.754
SaverLearning,0.691,633.515,8.552,10258,0.757
SaverLearning,0.680,643.188,8.387,10242,0.761
SaverLearning,0.703,652.790,8.282,10251,0.764
SaverLearning,0.696,662.542,8.422,10241,0.767
SaverLearning,0.695,672.125,8.257,10256,0.770
SaverLearning,0.683,681.961,8.544,10248,0.774
SaverLearning,0.680,691.649,8.407,10241,0.777
SaverLearning,0.680,701.453,8.503,10247,0.780
SaverLearning,0.685,711.386,8.612,10245,0.782
SaverLearning,0.684,721.050,8.370,10251,0.785
SaverLearning,0.683,730.792,8.458,10262,0.788
SaverLearning,0.697,740.843,8.724,10241,0.791
SaverLearning,0.691,750.712,8.554,10255,0.793
SaverLearning,0.698,760.838,8.779,10241,0.796
SaverLearning,0.703,770.791,8.611,10246,0.798
SaverLearning,0.734,781.380,9.199,10253,0.801
SaverLearning,0.706,791.993,9.235,10244,0.803
SaverLearning,0.668,802.227,8.927,10255,0.805
SaverLearning,0.725,812.449,8.851,10260,0.808
SaverLearning,0.680,822.402,8.638,10247,0.810
SaverLearning,0.709,832.346,8.589,10259,0.812
SaverLearning,0.705,842.527,8.815,10245,0.814
SaverLearning,0.704,852.722,8.842,10249,0.816
SaverLearning,0.703,862.887,8.822,10246,0.818
SaverLearning,0.702,873.198,8.951,10247,0.820
SaverLearning,0.702,883.437,8.880,10242,0.822
SaverLearning,0.694,893.595,8.801,10243,0.824
SaverLearning,0.692,903.567,8.637,10251,0.826
SaverLearning,0.713,913.398,8.503,10246,0.828
SaverLearning,0.710,923.403,8.661,10241,0.830
SaverLearning,0.703,933.398,8.656,10246,0.832
SaverLearning,0.699,943.413,8.660,10255,0.833
SaverLearning,0.734,953.603,8.794,10246,0.835
SaverLearning,0.709,963.650,8.685,10247,0.837
SaverLearning,0.688,973.875,8.872,10245,0.838
SaverLearning,0.705,983.736,8.528,10251,0.840
SaverLearning,0.680,993.917,8.850,10244,0.842
SaverLearning,0.709,1003.983,8.707,10243,0.843
SaverLearning,0.690,1014.099,8.769,10243,0.845
SaverLearning,0.702,1024.192,8.738,10255,0.846
SaverLearning,0.687,1033.920,8.404,10244,0.847
SaverLearning,0.689,1043.886,8.627,10241,0.849
SaverLearning,0.692,1054.231,8.977,10245,0.850
SaverLearning,0.700,1064.413,8.812,10244,0.852
SaverLearning,0.687,1074.724,8.952,10249,0.853
SaverLearning,0.690,1084.973,8.881,10263,0.854
SaverLearning,0.706,1095.338,8.967,10247,0.856
SaverLearning,0.703,1105.604,8.868,10243,0.857
SaverLearning,0.688,1116.013,9.029,10246,0.858
SaverLearning,0.712,1126.312,8.911,10248,0.859
SaverLearning,0.687,1136.405,8.743,10242,0.861
SaverLearning,0.696,1146.911,9.113,10252,0.862
SaverLearning,0.708,1157.250,8.954,10250,0.863
SaverLearning,0.687,1167.433,8.797,10244,0.864
SaverLearning,0.679,1177.615,8.813,10241,0.865
SaverLearning,0.719,1188.192,9.052,10246,0.866
SaverLearning,0.693,1198.263,8.705,10241,0.867
SaverLearning,0.703,1208.224,8.597,10250,0.869
SaverLearning,0.697,1218.230,8.637,10247,0.870
SaverLearning,0.683,1228.202,8.629,10251,0.871
SaverLearning,0.697,1238.237,8.675,10245,0.872
SaverLearning,0.702,1248.662,9.027,10249,0.873
SaverLearning,0.708,1258.971,8.898,10244,0.874
SaverLearning,0.690,1269.252,8.916,10253,0.875
SaverLearning,0.696,1279.507,8.874,10250,0.876
SaverLearning,0.693,1289.796,8.922,10254,0.877
SaverLearning,0.680,1299.994,8.850,10242,0.878
SaverLearning,0.692,1310.535,9.157,10260,0.879
SaverLearning,0.687,1320.864,8.962,10253,0.880
SaverLearning,0.686,1331.021,8.801,10241,0.880
SaverLearning,0.689,1341.202,8.814,10256,0.881
SaverLearning,0.695,1351.138,8.590,10241,0.882
SaverLearning,0.680,1361.051,8.594,10244,0.883
SaverLearning,0.685,1371.269,8.871,10249,0.884
SaverLearning,0.689,1381.658,9.019,10253,0.885
SaverLearning,0.719,1392.058,8.988,10242,0.886
SaverLearning,0.686,1402.288,8.867,10244,0.886
SaverLearning,0.700,1412.343,8.687,10242,0.887
SaverLearning,0.694,1422.606,8.880,10247,0.888
SaverLearning,0.682,1432.743,8.789,10247,0.889
SaverLearning,0.703,1442.915,8.804,10243,0.889
SaverLearning,0.709,1453.083,8.788,10252,0.890
SaverLearning,0.688,1463.182,8.744,10248,0.891
SaverLearning,0.688,1472.933,8.410,10242,0.892
SaverLearning,0.707,1482.948,8.637,10250,0.892
SaverLearning,0.706,1492.995,8.687,10251,0.893
SaverLearning,0.679,1503.042,8.725,10254,0.894
SaverLearning,0.689,1513.162,8.764,10245,0.894
SaverLearning,0.676,1523.288,8.769,10241,0.895
SaverLearning,0.690,1533.300,8.661,10252,0.896
SaverLearning,0.692,1543.526,8.846,10247,0.896
SaverLearning,0.683,1553.641,8.760,10246,0.897
SaverLearning,0.701,1564.255,9.198,10242,0.898
SaverLearning,0.687,1574.541,8.912,10243,0.898
SaverLearning,0.692,1584.731,8.816,10242,0.899
SaverLearning,0.679,1595.042,8.946,10247,0.900
SaverLearning,0.674,1605.255,8.867,10257,0.900
SaverLearning,0.685,1615.477,8.857,10250,0.901
SaverLearning,0.693,1625.555,8.718,10248,0.902
SaverLearning,0.679,1635.593,8.713,10247,0.902
SaverLearning,0.683,1645.864,8.936,10253,0.903
SaverLearning,0.713,1656.008,8.769,10257,0.903
SaverLearning,0.679,1666.626,9.239,10245,0.904
SaverLearning,0.696,1677.064,9.060,10259,0.904
SaverLearning,0.683,1687.346,8.933,10244,0.905
SaverLearning,0.687,1697.494,8.802,10256,0.906
SaverLearning,0.700,1707.782,8.927,10250,0.906
SaverLearning,0.688,1717.881,8.755,10247,0.907
SaverLearning,0.730,1728.170,8.897,10246,0.907
SaverLearning,0.729,1738.128,8.579,10245,0.908
SaverLearning,0.696,1748.551,9.031,10243,0.908
SaverLearning,0.698,1758.910,8.986,10250,0.909
SaverLearning,0.690,1769.546,9.266,10254,0.909
SaverLearning,0.682,1779.994,9.090,10252,0.910
SaverLearning,0.715,1790.748,9.224,10250,0.910
SaverLearning,0.687,1801.378,9.245,10245,0.911
SaverLearning,0.696,1812.725,9.863,10241,0.911
SaverLearning,0.694,1823.337,9.203,10241,0.912
SaverLearning,0.695,1833.799,9.076,10242,0.912
SaverLearning,0.691,1844.219,9.045,10252,0.913
SaverLearning,0.680,1854.658,9.083,10248,0.913
SaverLearning,0.702,1865.508,9.419,10246,0.914
SaverLearning,0.713,1876.462,9.493,10245,0.914
SaverLearning,0.766,1887.115,9.189,10250,0.914
SaverLearning,0.690,1897.668,9.173,10242,0.915
SaverLearning,0.697,1908.177,9.119,10243,0.915
SaverLearning,0.696,1918.549,8.992,10250,0.916
SaverLearning,0.694,1929.104,9.153,10246,0.916
SaverLearning,0.698,1939.404,8.912,10251,0.917
SaverLearning,0.708,1949.908,9.105,10242,0.917
SaverLearning,0.701,1960.205,8.912,10244,0.917
SaverLearning,0.707,1970.640,9.040,10253,0.918
SaverLearning,0.691,1981.215,9.158,10256,0.918
SaverLearning,0.704,1991.491,8.871,10241,0.919
SaverLearning,0.695,2001.795,8.916,10251,0.919
SaverLearning,0.705,2012.150,8.948,10252,0.920
SaverLearning,0.682,2022.579,9.037,10259,0.920
SaverLearning,0.704,2032.858,8.883,10245,0.920
SaverLearning,0.698,2043.155,8.892,10250,0.921
SaverLearning,0.709,2053.662,9.079,10256,0.921
SaverLearning,0.694,2063.964,8.915,10248,0.921
SaverLearning,0.682,2074.076,8.754,10253,0.922
SaverLearning,0.700,2084.753,9.279,10242,0.922
SaverLearning,0.691,2095.077,8.947,10248,0.923
SaverLearning,0.690,2105.327,8.864,10250,0.923
SaverLearning,0.694,2115.560,8.845,10251,0.923
SaverLearning,0.697,2125.753,8.803,10254,0.924
SaverLearning,0.697,2135.965,8.827,10246,0.924
SaverLearning,0.696,2146.152,8.797,10245,0.924
SaverLearning,0.713,2156.804,9.218,10249,0.925
SaverLearning,0.717,2167.295,9.074,10245,0.925
SaverLearning,0.701,2177.573,8.898,10244,0.925
SaverLearning,0.696,2187.970,9.002,10249,0.926
SaverLearning,0.721,2198.085,8.703,10260,0.926
SaverLearning,0.687,2208.385,8.902,10248,0.926
SaverLearning,0.720,2218.759,8.950,10250,0.927
SaverLearning,0.692,2229.256,9.104,10243,0.927
SaverLearning,0.715,2239.887,9.208,10262,0.927
SaverLearning,0.692,2250.233,8.968,10242,0.928
SaverLearning,0.684,2260.703,9.083,10245,0.928
SaverLearning,0.684,2271.287,9.194,10247,0.928
SaverLearning,0.698,2281.850,9.156,10250,0.929
SaverLearning,0.704,2292.160,8.898,10246,0.929
SaverLearning,0.706,2302.416,8.844,10258,0.929
SaverLearning,0.691,2312.931,9.127,10248,0.930
SaverLearning,0.695,2323.276,8.942,10252,0.930
SaverLearning,0.689,2333.471,8.822,10243,0.930
SaverLearning,0.686,2343.732,8.885,10254,0.930
SaverLearning,0.683,2353.944,8.834,10245,0.931
SaverLearning,0.721,2364.141,8.785,10248,0.931
SaverLearning,0.686,2374.422,8.906,10245,0.931
SaverLearning,0.687,2384.573,8.783,10243,0.932
SaverLearning,0.693,2395.130,9.034,10254,0.932
SaverLearning,0.696,2405.262,8.735,10242,0.932
SaverLearning,0.714,2415.618,8.940,10249,0.932
SaverLearning,0.696,2426.050,9.031,10251,0.933
SaverLearning,0.701,2436.520,9.065,10248,0.933
SaverLearning,0.702,2446.943,9.010,10253,0.933
SaverLearning,0.696,2457.312,8.983,10246,0.934
SaverLearning,0.691,2467.610,8.914,10248,0.934
SaverLearning,0.687,2477.968,8.971,10246,0.934
SaverLearning,0.696,2488.196,8.844,10263,0.934
SaverLearning,0.686,2498.692,9.103,10255,0.935
SaverLearning,0.693,2508.926,8.846,10257,0.935
SaverLearning,0.686,2519.153,8.833,10243,0.935
SaverLearning,0.697,2529.531,8.993,10256,0.935
SaverLearning,0.685,2540.069,9.152,10243,0.936
SaverLearning,0.693,2550.948,9.466,10241,0.936
SaverLearning,0.696,2561.745,9.379,10244,0.936
SaverLearning,0.701,2572.449,9.290,10245,0.936
SaverLearning,0.711,2583.031,9.154,10242,0.937
SaverLearning,0.701,2593.879,9.409,10244,0.937
SaverLearning,0.692,2604.665,9.355,10255,0.937
SaverLearning,0.691,2615.147,9.083,10254,0.937
SaverLearning,0.697,2625.657,9.113,10247,0.938
SaverLearning,0.687,2636.450,9.400,10243,0.938
SaverLearning,0.694,2647.244,9.380,10248,0.938
SaverLearning,0.704,2658.121,9.435,10256,0.938
SaverLearning,0.717,2668.776,9.216,10247,0.939
SaverLearning,0.687,2679.330,9.160,10259,0.939
SaverLearning,0.692,2689.841,9.105,10256,0.939
SaverLearning,0.700,2700.417,9.177,10244,0.939
SaverLearning,0.697,2711.036,9.212,10242,0.939
SaverLearning,0.713,2721.633,9.177,10251,0.940
SaverLearning,0.709,2732.072,9.033,10247,0.940
SaverLearning,0.727,2742.623,9.121,10242,0.940
SaverLearning,0.726,2752.878,8.846,10249,0.940
SaverLearning,0.693,2763.239,8.944,10260,0.940
SaverLearning,0.701,2773.683,9.032,10242,0.941
SaverLearning,0.700,2784.113,9.025,10250,0.941
SaverLearning,0.690,2794.420,8.915,10246,0.941
SaverLearning,0.727,2804.722,8.860,10242,0.941
SaverLearning,0.715,2815.167,9.015,10256,0.942
SaverLearning,0.699,2825.682,9.091,10255,0.942
SaverLearning,0.704,2836.162,9.038,10250,0.942
SaverLearning,0.722,2846.688,9.062,10252,0.942
SaverLearning,0.689,2856.980,8.918,10253,0.942
SaverLearning,0.712,2867.311,8.921,10247,0.942
SaverLearning,0.708,2877.693,8.962,10254,0.943
SaverLearning,0.705,2888.139,9.027,10246,0.943
SaverLearning,0.762,2898.794,9.177,10253,0.943
SaverLearning,0.699,2909.371,9.166,10241,0.943
SaverLearning,0.701,2920.211,9.391,10254,0.943
SaverLearning,0.690,2930.784,9.170,10249,0.944
SaverLearning,0.689,2941.369,9.189,10261,0.944
SaverLearning,0.694,2951.746,8.973,10252,0.944
SaverLearning,0.712,2962.700,9.507,10250,0.944
SaverLearning,0.702,2973.462,9.320,10250,0.944
SaverLearning,0.698,2983.976,9.109,10246,0.945
SaverLearning,0.713,2994.689,9.177,10242,0.945
SaverLearning,0.740,3005.767,9.595,10244,0.945
SaverLearning,0.698,3016.567,9.397,10244,0.945
SaverLearning,0.719,3027.205,9.229,10248,0.945
SaverLearning,0.689,3037.754,9.158,10244,0.945
SaverLearning,0.693,3048.225,9.070,10244,0.946
SaverLearning,0.694,3058.864,9.214,10247,0.946
SaverLearning,0.690,3069.707,9.411,10244,0.946
SaverLearning,0.680,3080.152,9.045,10251,0.946
SaverLearning,0.701,3090.694,9.122,10243,0.946
SaverLearning,0.690,3101.324,9.235,10241,0.947
SaverLearning,0.717,3112.032,9.277,10248,0.947
SaverLearning,0.724,3122.456,8.985,10241,0.947
SaverLearning,0.727,3132.723,8.823,10249,0.947
SaverLearning,0.696,3143.006,8.879,10247,0.947
SaverLearning,0.702,3153.341,8.919,10246,0.947
SaverLearning,0.690,3163.476,8.734,10252,0.948
SaverLearning,0.687,3173.473,8.632,10253,0.948
SaverLearning,0.702,3183.637,8.767,10244,0.948
SaverLearning,0.685,3193.492,8.503,10246,0.948
SaverLearning,0.692,3203.380,8.509,10251,0.948
SaverLearning,0.692,3213.414,8.645,10246,0.948
SaverLearning,0.700,3223.405,8.614,10250,0.949
SaverLearning,0.698,3233.522,8.733,10252,0.949
SaverLearning,0.703,3243.929,8.964,10248,0.949
