Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.442,5.308,0.610,165,-0.358
SaverLearning,3.032,8.950,0.585,161,-0.350
SaverLearning,3.004,12.622,0.643,161,-0.270
SaverLearning,3.027,16.245,0.574,162,-0.227
SaverLearning,3.057,19.897,0.571,161,-0.176
SaverLearning,3.050,23.626,0.652,161,-0.133
SaverLearning,3.048,27.324,0.624,167,-0.072
SaverLearning,3.037,31.055,0.666,161,-0.017
SaverLearning,3.098,34.875,0.692,163,0.024
SaverLearning,3.034,38.626,0.687,163,0.048
SaverLearning,3.029,42.462,0.771,163,0.072
SaverLearning,3.077,46.403,0.828,161,0.100
SaverLearning,3.070,50.248,0.744,163,0.118
SaverLearning,3.072,54.132,0.778,161,0.136
SaverLearning,3.097,58.106,0.837,161,0.154
SaverLearning,3.034,61.973,0.795,162,0.172
SaverLearning,3.027,65.927,0.884,162,0.185
SaverLearning,3.067,70.128,1.083,161,0.201
SaverLearning,3.092,74.227,0.960,165,0.220
SaverLearning,2.993,78.163,0.899,166,0.229
SaverLearning,3.079,82.285,0.994,162,0.238
SaverLearning,3.075,86.389,0.981,161,0.240
SaverLearning,3.046,90.442,0.957,164,0.252
SaverLearning,2.992,94.368,0.896,162,0.263
SaverLearning,3.000,98.319,0.913,163,0.265
SaverLearning,2.990,102.263,0.912,162,0.271
SaverLearning,3.052,106.279,0.922,161,0.279
SaverLearning,3.065,110.464,1.072,162,0.282
SaverLearning,3.043,114.631,1.072,163,0.288
SaverLearning,3.146,118.870,1.047,161,0.291
SaverLearning,3.025,123.054,1.107,162,0.292
SaverLearning,3.049,127.233,1.080,164,0.296
SaverLearning,3.064,131.455,1.107,164,0.296
SaverLearning,3.055,135.539,0.986,161,0.304
SaverLearning,3.006,139.567,0.975,162,0.305
SaverLearning,3.056,143.823,1.146,163,0.312
SaverLearning,3.073,147.947,1.003,161,0.317
SaverLearning,3.012,151.953,0.946,161,0.317
SaverLearning,3.073,155.993,0.921,163,0.320
SaverLearning,2.949,159.893,0.914,162,0.323
SaverLearning,3.034,164.027,1.053,164,0.329
SaverLearning,3.058,168.210,1.076,167,0.331
SaverLearning,3.039,172.360,1.061,161,0.334
SaverLearning,3.036,176.602,1.155,162,0.337
SaverLearning,3.085,180.811,1.074,162,0.339
SaverLearning,3.059,184.890,0.974,162,0.342
SaverLearning,3.012,188.973,1.024,161,0.345
SaverLearning,3.163,193.300,1.110,161,0.347
SaverLearning,3.094,197.402,0.962,164,0.347
SaverLearning,3.039,201.723,1.226,161,0.352
SaverLearning,3.074,206.002,1.148,161,0.356
SaverLearning,3.078,210.204,1.072,162,0.360
SaverLearning,2.996,214.457,1.198,162,0.359
SaverLearning,3.063,218.568,0.995,162,0.361
SaverLearning,3.080,222.794,1.097,162,0.362
SaverLearning,3.074,227.199,1.273,162,0.363
SaverLearning,3.010,231.236,0.983,162,0.367
SaverLearning,3.062,235.412,1.063,161,0.369
SaverLearning,3.075,239.750,1.205,162,0.370
SaverLearning,3.025,243.873,1.050,164,0.372
SaverLearning,3.099,248.087,1.067,161,0.376
SaverLearning,3.017,252.199,1.046,161,0.379
SaverLearning,3.099,256.439,1.091,161,0.383
SaverLearning,3.059,260.742,1.187,161,0.384
SaverLearning,3.089,264.949,1.066,161,0.388
SaverLearning,3.017,269.215,1.194,161,0.391
SaverLearning,3.012,273.274,1.000,161,0.394
SaverLearning,3.062,277.490,1.095,162,0.395
SaverLearning,3.050,281.639,1.053,162,0.398
SaverLearning,3.067,285.756,1.005,162,0.401
SaverLearning,3.099,289.995,1.090,165,0.402
SaverLearning,3.126,294.321,1.145,162,0.402
SaverLearning,3.125,298.584,1.088,162,0.404
SaverLearning,3.089,302.789,1.065,162,0.406
SaverLearning,3.062,307.074,1.167,165,0.406
SaverLearning,3.089,311.431,1.211,161,0.406
SaverLearning,3.011,315.619,1.122,162,0.406
SaverLearning,3.043,319.921,1.203,161,0.408
SaverLearning,3.059,324.005,0.979,164,0.409
SaverLearning,3.124,328.184,1.005,161,0.412
SaverLearning,3.051,332.274,0.991,162,0.414
SaverLearning,3.041,336.274,0.914,161,0.416
SaverLearning,3.077,340.402,1.000,163,0.417
SaverLearning,3.090,344.574,1.034,161,0.418
SaverLearning,3.046,348.800,1.129,161,0.419
SaverLearning,3.047,353.081,1.181,164,0.418
SaverLearning,2.961,357.342,1.243,163,0.419
SaverLearning,3.051,361.723,1.270,164,0.420
SaverLearning,3.051,365.927,1.101,161,0.420
SaverLearning,3.084,370.290,1.219,163,0.420
SaverLearning,3.114,374.588,1.131,161,0.422
SaverLearning,3.054,378.818,1.123,161,0.423
SaverLearning,3.122,383.105,1.110,162,0.424
SaverLearning,3.086,387.547,1.294,163,0.424
SaverLearning,3.025,391.991,1.355,165,0.425
SaverLearning,3.044,396.389,1.291,161,0.427
SaverLearning,3.034,400.703,1.224,163,0.427
SaverLearning,3.040,404.928,1.133,163,0.428
SaverLearning,3.090,409.123,1.058,162,0.430
SaverLearning,3.070,413.342,1.098,165,0.431
SaverLearning,3.092,417.369,0.893,161,0.432
SaverLearning,3.106,421.564,1.041,161,0.432
SaverLearning,3.097,425.767,1.057,165,0.434
