Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SaverLearning,3.421,5.333,0.673,161,-0.106
SaverLearning,3.121,9.073,0.596,163,-0.198
SaverLearning,3.077,12.814,0.640,164,-0.250
SaverLearning,3.054,16.436,0.547,164,-0.221
SaverLearning,3.104,20.154,0.590,161,-0.221
SaverLearning,3.087,23.865,0.601,162,-0.219
SaverLearning,3.108,27.584,0.587,161,-0.206
SaverLearning,3.040,31.209,0.561,162,-0.184
SaverLearning,3.106,34.905,0.567,162,-0.147
SaverLearning,3.063,38.604,0.611,162,-0.109
SaverLearning,3.076,42.384,0.674,164,-0.075
SaverLearning,3.046,46.206,0.743,164,-0.038
SaverLearning,3.103,50.068,0.727,163,-0.002
SaverLearning,3.075,53.950,0.771,161,0.028
SaverLearning,3.095,57.848,0.770,163,0.052
SaverLearning,3.019,61.717,0.814,161,0.074
SaverLearning,3.051,65.623,0.813,162,0.095
SaverLearning,3.048,69.444,0.739,161,0.116
SaverLearning,3.102,73.414,0.828,163,0.129
SaverLearning,3.112,77.390,0.825,162,0.144
SaverLearning,3.082,81.373,0.856,162,0.161
SaverLearning,3.013,85.172,0.752,163,0.171
SaverLearning,3.069,89.188,0.904,164,0.182
SaverLearning,3.114,93.189,0.845,162,0.191
SaverLearning,3.090,97.159,0.839,166,0.199
SaverLearning,3.084,101.122,0.835,161,0.205
SaverLearning,3.113,105.107,0.838,163,0.213
SaverLearning,3.074,109.048,0.831,161,0.223
SaverLearning,3.152,113.083,0.846,163,0.228
SaverLearning,3.041,116.956,0.797,164,0.234
SaverLearning,3.073,121.000,0.929,161,0.241
SaverLearning,3.076,125.063,0.944,163,0.249
SaverLearning,3.055,129.102,0.941,161,0.258
SaverLearning,3.022,133.123,0.955,163,0.259
SaverLearning,3.037,137.157,0.956,162,0.264
SaverLearning,3.089,141.225,0.937,163,0.272
SaverLearning,3.094,145.308,0.946,162,0.273
SaverLearning,3.058,149.407,0.996,161,0.278
SaverLearning,3.074,153.379,0.859,162,0.285
SaverLearning,3.132,157.557,1.002,162,0.288
SaverLearning,3.076,161.625,0.947,166,0.290
SaverLearning,3.048,165.745,1.024,163,0.293
SaverLearning,3.090,169.869,0.987,162,0.299
SaverLearning,3.082,173.959,0.961,162,0.303
SaverLearning,3.071,178.084,1.011,163,0.305
SaverLearning,3.074,182.216,1.012,162,0.306
SaverLearning,3.137,186.262,0.869,166,0.308
SaverLearning,3.080,190.299,0.917,161,0.312
SaverLearning,3.065,194.400,0.993,165,0.316
SaverLearning,3.071,198.598,1.076,161,0.321
SaverLearning,3.072,202.672,0.958,161,0.325
SaverLearning,3.114,206.963,1.127,163,0.332
SaverLearning,3.087,211.387,1.277,161,0.335
SaverLearning,3.085,215.554,1.035,162,0.338
SaverLearning,3.091,219.801,1.106,163,0.341
SaverLearning,3.141,224.037,1.046,161,0.345
SaverLearning,3.045,228.286,1.148,164,0.345
SaverLearning,3.083,232.542,1.118,161,0.348
SaverLearning,3.074,237.033,1.346,161,0.353
SaverLearning,3.103,241.331,1.138,161,0.358
SaverLearning,3.080,245.583,1.124,162,0.360
SaverLearning,3.122,249.998,1.238,163,0.365
SaverLearning,3.065,254.344,1.226,161,0.368
SaverLearning,3.094,258.693,1.201,161,0.372
SaverLearning,3.081,262.977,1.151,162,0.375
SaverLearning,3.070,267.319,1.216,161,0.379
SaverLearning,3.067,271.644,1.202,162,0.382
SaverLearning,3.038,276.018,1.276,161,0.384
SaverLearning,3.075,280.365,1.215,161,0.388
SaverLearning,3.170,284.809,1.217,163,0.390
SaverLearning,3.084,289.254,1.299,162,0.394
SaverLearning,3.025,293.580,1.241,162,0.398
SaverLearning,3.091,297.961,1.230,162,0.402
SaverLearning,3.028,302.242,1.199,162,0.405
SaverLearning,3.126,306.919,1.486,161,0.408
SaverLearning,3.050,311.306,1.276,163,0.410
SaverLearning,3.049,315.603,1.196,162,0.413
SaverLearning,3.159,320.018,1.202,162,0.415
SaverLearning,3.062,324.468,1.323,161,0.417
SaverLearning,3.082,328.870,1.260,161,0.420
SaverLearning,3.061,333.145,1.161,161,0.423
SaverLearning,3.065,337.582,1.308,163,0.426
SaverLearning,3.073,342.041,1.323,161,0.429
SaverLearning,3.056,346.389,1.234,161,0.432
SaverLearning,3.105,350.860,1.302,161,0.436
SaverLearning,3.065,355.185,1.202,162,0.439
SaverLearning,3.060,359.548,1.246,161,0.442
SaverLearning,3.098,363.825,1.129,162,0.445
SaverLearning,3.101,368.180,1.199,162,0.448
SaverLearning,3.110,372.629,1.281,166,0.450
SaverLearning,3.069,377.072,1.312,162,0.453
SaverLearning,3.086,381.512,1.294,161,0.456
SaverLearning,3.051,385.954,1.330,161,0.458
SaverLearning,3.088,390.330,1.228,161,0.461
SaverLearning,3.087,394.789,1.308,162,0.463
SaverLearning,3.154,399.210,1.211,161,0.467
SaverLearning,3.060,403.487,1.161,164,0.469
SaverLearning,3.091,408.015,1.370,161,0.471
SaverLearning,3.062,412.307,1.179,161,0.473
SaverLearning,3.119,416.815,1.329,162,0.476
SaverLearning,3.084,421.346,1.385,162,0.478
SaverLearning,3.120,425.756,1.236,161,0.481
SaverLearning,3.078,430.297,1.397,161,0.483
SaverLearning,3.114,434.657,1.193,161,0.485
SaverLearning,3.023,438.961,1.222,161,0.488
SaverLearning,3.065,443.186,1.110,163,0.489
SaverLearning,3.045,447.681,1.385,163,0.490
SaverLearning,3.137,452.178,1.299,161,0.492
SaverLearning,3.124,456.582,1.223,162,0.495
SaverLearning,3.091,460.921,1.191,161,0.496
SaverLearning,3.100,465.242,1.160,161,0.498
SaverLearning,3.112,469.747,1.333,161,0.500
SaverLearning,3.040,474.183,1.340,165,0.501
SaverLearning,3.099,478.529,1.192,161,0.504
SaverLearning,3.082,482.904,1.238,164,0.507
SaverLearning,3.088,487.282,1.234,161,0.508
SaverLearning,3.115,491.709,1.253,163,0.510
SaverLearning,3.042,496.062,1.253,161,0.512
SaverLearning,3.100,500.468,1.246,163,0.514
SaverLearning,3.025,504.706,1.155,163,0.517
SaverLearning,3.052,509.179,1.354,161,0.520
SaverLearning,3.034,513.507,1.235,168,0.521
SaverLearning,3.116,517.852,1.174,161,0.524
SaverLearning,3.063,522.190,1.213,162,0.526
SaverLearning,3.087,526.482,1.154,161,0.528
SaverLearning,3.025,530.765,1.203,161,0.529
SaverLearning,3.072,534.964,1.081,163,0.532
SaverLearning,3.075,539.138,1.054,163,0.534
SaverLearning,3.099,543.299,1.016,162,0.536
SaverLearning,3.083,547.437,1.009,165,0.538
SaverLearning,3.055,551.514,0.978,163,0.541
SaverLearning,3.099,555.819,1.154,163,0.544
SaverLearning,3.157,559.949,0.930,161,0.546
SaverLearning,3.031,564.206,1.169,161,0.548
SaverLearning,3.033,568.283,0.997,161,0.550
SaverLearning,3.174,572.523,1.017,163,0.552
SaverLearning,3.056,576.522,0.900,162,0.554
SaverLearning,3.098,580.657,0.988,161,0.557
SaverLearning,3.100,584.818,1.012,162,0.559
SaverLearning,3.097,589.078,1.104,161,0.560
SaverLearning,3.132,593.245,0.991,163,0.562
SaverLearning,3.085,597.234,0.863,161,0.564
SaverLearning,3.069,601.231,0.888,163,0.566
SaverLearning,3.097,605.243,0.876,162,0.568
SaverLearning,3.085,609.257,0.891,161,0.571
SaverLearning,3.080,613.325,0.942,162,0.573
SaverLearning,3.058,617.392,0.966,161,0.576
SaverLearning,3.021,621.349,0.897,163,0.578
SaverLearning,2.995,625.347,0.960,162,0.580
SaverLearning,2.915,629.239,0.935,164,0.581
SaverLearning,3.010,633.242,0.949,162,0.584
SaverLearning,3.054,637.273,0.932,166,0.586
SaverLearning,3.007,641.256,0.931,161,0.588
SaverLearning,3.102,645.341,0.936,161,0.590
SaverLearning,3.095,649.400,0.918,161,0.592
SaverLearning,3.084,653.634,1.095,161,0.593
SaverLearning,3.097,657.766,0.988,166,0.595
SaverLearning,3.108,661.890,0.968,161,0.597
SaverLearning,3.056,666.026,1.034,167,0.599
SaverLearning,3.120,670.327,1.132,162,0.600
SaverLearning,3.100,674.447,0.978,162,0.602
SaverLearning,3.110,678.678,1.072,161,0.603
SaverLearning,3.113,682.884,1.044,161,0.605
SaverLearning,3.028,687.014,1.055,163,0.607
SaverLearning,3.082,691.150,1.007,163,0.609
SaverLearning,3.080,695.111,0.844,162,0.610
SaverLearning,3.048,699.104,0.904,161,0.612
SaverLearning,3.013,703.162,1.001,163,0.613
SaverLearning,3.051,707.351,1.085,162,0.614
SaverLearning,3.095,711.620,1.120,163,0.616
SaverLearning,3.126,715.923,1.123,162,0.617
SaverLearning,3.067,720.009,0.971,162,0.618
SaverLearning,3.067,724.151,1.026,162,0.619
SaverLearning,3.133,728.248,0.920,163,0.621
SaverLearning,3.123,732.322,0.907,165,0.622
SaverLearning,3.154,736.426,0.911,164,0.624
SaverLearning,3.107,740.484,0.912,162,0.626
SaverLearning,3.106,744.588,0.956,167,0.627
SaverLearning,3.122,748.666,0.916,161,0.629
SaverLearning,3.081,752.652,0.866,162,0.630
SaverLearning,3.066,756.722,0.961,165,0.631
SaverLearning,3.055,760.669,0.853,161,0.632
SaverLearning,3.038,764.807,1.050,162,0.633
SaverLearning,3.048,768.897,0.995,162,0.635
SaverLearning,3.132,773.091,1.014,162,0.635
SaverLearning,3.108,777.355,1.106,161,0.636
SaverLearning,3.080,781.462,0.979,162,0.637
SaverLearning,3.092,785.588,0.986,161,0.637
SaverLearning,3.126,790.024,1.251,162,0.638
SaverLearning,3.048,794.289,1.161,163,0.639
SaverLearning,3.078,798.516,1.090,161,0.640
SaverLearning,3.062,802.736,1.108,161,0.640
SaverLearning,3.102,806.997,1.109,164,0.641
SaverLearning,3.105,811.241,1.090,162,0.642
SaverLearning,3.135,815.547,1.121,165,0.643
SaverLearning,3.028,819.696,1.073,162,0.644
SaverLearning,3.135,823.929,1.048,161,0.645
SaverLearning,3.102,828.211,1.128,161,0.646
SaverLearning,3.061,832.338,1.021,163,0.647
SaverLearning,3.063,836.492,1.044,163,0.648
SaverLearning,3.042,840.585,1.002,164,0.649
SaverLearning,3.071,844.644,0.945,164,0.650
SaverLearning,3.017,848.612,0.907,162,0.651
SaverLearning,3.013,852.505,0.842,163,0.652
SaverLearning,3.132,856.611,0.931,162,0.652
SaverLearning,3.132,860.777,0.985,161,0.654
SaverLearning,3.012,864.644,0.815,162,0.655
SaverLearning,3.064,868.694,0.938,165,0.656
SaverLearning,3.166,872.982,1.072,163,0.657
SaverLearning,3.050,877.028,0.953,162,0.658
SaverLearning,3.078,881.059,0.913,162,0.658
SaverLearning,3.073,885.154,0.977,161,0.660
SaverLearning,3.128,889.253,0.930,162,0.660
SaverLearning,3.058,893.490,1.129,161,0.661
SaverLearning,3.035,897.474,0.907,162,0.662
SaverLearning,3.095,901.656,1.038,164,0.663
SaverLearning,3.062,905.824,1.057,161,0.664
SaverLearning,3.104,910.133,1.150,162,0.664
SaverLearning,3.113,914.374,1.075,164,0.665
SaverLearning,3.134,918.688,1.127,161,0.666
SaverLearning,3.060,922.891,1.086,162,0.667
SaverLearning,3.107,927.010,0.968,164,0.668
SaverLearning,3.047,930.971,0.871,162,0.668
SaverLearning,3.038,935.040,0.982,162,0.669
SaverLearning,3.118,939.137,0.934,161,0.671
SaverLearning,2.997,943.095,0.919,161,0.672
SaverLearning,3.128,947.308,1.040,163,0.673
SaverLearning,3.066,951.422,1.003,163,0.674
SaverLearning,3.114,955.544,0.965,162,0.674
SaverLearning,3.108,959.666,0.969,163,0.675
SaverLearning,3.114,963.800,0.974,161,0.676
SaverLearning,3.083,967.849,0.924,162,0.677
SaverLearning,3.018,971.909,0.997,161,0.677
SaverLearning,3.072,976.060,1.033,162,0.678
SaverLearning,3.045,980.209,1.054,162,0.679
SaverLearning,3.057,984.260,0.949,161,0.679
SaverLearning,3.020,988.342,1.014,161,0.680
SaverLearning,3.026,992.381,0.970,163,0.681
SaverLearning,3.082,996.336,0.835,164,0.682
SaverLearning,3.060,1000.250,0.815,163,0.684
SaverLearning,3.127,1004.222,0.806,167,0.685
SaverLearning,3.070,1008.221,0.884,162,0.686
SaverLearning,3.009,1012.147,0.880,163,0.687
SaverLearning,3.060,1016.145,0.899,166,0.688
SaverLearning,3.105,1020.202,0.914,163,0.689
SaverLearning,3.067,1024.228,0.919,161,0.690
SaverLearning,3.106,1028.262,0.888,164,0.691
SaverLearning,3.072,1032.207,0.837,161,0.692
SaverLearning,3.123,1036.233,0.865,161,0.693
SaverLearning,3.080,1040.428,1.067,171,0.694
SaverLearning,3.086,1044.395,0.844,163,0.695
SaverLearning,3.093,1048.480,0.949,162,0.696
SaverLearning,3.030,1052.511,0.956,161,0.697
SaverLearning,2.999,1056.599,1.041,164,0.698
SaverLearning,3.064,1060.541,0.838,161,0.698
SaverLearning,3.023,1064.536,0.928,163,0.699
SaverLearning,2.992,1068.530,0.957,161,0.700
SaverLearning,3.068,1072.644,0.997,164,0.701
SaverLearning,3.151,1076.887,1.042,161,0.702
SaverLearning,3.063,1080.945,0.949,162,0.703
SaverLearning,3.127,1085.171,1.045,162,0.703
SaverLearning,3.130,1089.353,1.008,161,0.704
SaverLearning,3.081,1093.467,0.990,167,0.704
SaverLearning,3.083,1097.503,0.913,161,0.705
SaverLearning,3.135,1101.561,0.885,161,0.705
SaverLearning,3.120,1105.680,0.952,163,0.706
SaverLearning,3.070,1109.703,0.911,163,0.706
SaverLearning,3.143,1113.807,0.918,162,0.707
SaverLearning,3.086,1117.863,0.930,163,0.707
SaverLearning,3.068,1122.045,1.065,163,0.708
SaverLearning,3.074,1126.099,0.936,162,0.708
SaverLearning,3.077,1130.129,0.912,163,0.709
SaverLearning,3.025,1134.102,0.903,163,0.710
SaverLearning,2.989,1138.001,0.870,161,0.710
SaverLearning,2.987,1142.049,1.010,164,0.711
SaverLearning,3.054,1146.138,0.988,161,0.711
SaverLearning,3.108,1150.324,1.027,162,0.711
SaverLearning,3.095,1154.614,1.134,162,0.712
SaverLearning,3.131,1158.869,1.075,161,0.712
SaverLearning,3.127,1163.136,1.089,162,0.713
SaverLearning,3.103,1167.340,1.053,161,0.714
SaverLearning,3.100,1171.638,1.148,162,0.714
SaverLearning,3.122,1175.838,1.029,161,0.715
SaverLearning,3.149,1180.060,1.025,161,0.715
SaverLearning,3.100,1184.393,1.178,162,0.715
SaverLearning,3.123,1188.525,0.964,163,0.716
SaverLearning,3.065,1192.502,0.873,161,0.716
SaverLearning,3.078,1196.487,0.867,161,0.717
SaverLearning,3.097,1200.461,0.841,165,0.718
SaverLearning,3.180,1204.548,0.865,163,0.718
SaverLearning,3.128,1208.630,0.913,168,0.719
SaverLearning,3.100,1212.653,0.881,161,0.720
SaverLearning,3.090,1216.663,0.879,162,0.720
SaverLearning,3.076,1220.657,0.878,163,0.721
SaverLearning,3.087,1224.687,0.900,161,0.722
SaverLearning,3.087,1228.670,0.850,161,0.722
SaverLearning,3.073,1232.650,0.868,164,0.723
SaverLearning,3.086,1236.619,0.845,162,0.724
SaverLearning,3.132,1240.612,0.824,162,0.724
SaverLearning,3.084,1244.553,0.821,161,0.725
SaverLearning,3.135,1248.669,0.938,161,0.726
SaverLearning,3.075,1252.746,0.958,164,0.726
SaverLearning,3.080,1256.890,1.017,162,0.726
SaverLearning,3.032,1260.801,0.842,163,0.727
SaverLearning,3.111,1264.848,0.894,163,0.728
SaverLearning,3.082,1268.885,0.910,161,0.728
SaverLearning,3.066,1272.896,0.902,161,0.729
SaverLearning,3.105,1277.012,0.966,161,0.729
SaverLearning,3.036,1281.113,1.020,162,0.730
SaverLearning,3.096,1285.340,1.080,162,0.730
